NL,SQL
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers where disbursement_amount more than 917,SELECT * FROM loans WHERE disbursement_amount > 917;
what is the overall credit_score of all loans,SELECT SUM(credit_score) FROM loans;
give me customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
fetch customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list customers having tenure_months greater than 28962 and disbursement_amount under 730,SELECT * FROM loans WHERE tenure_months > 28962 AND disbursement_amount < 730;
show clients having tenure_months greater than 3139 and credit_score under 690,SELECT * FROM loans WHERE tenure_months > 3139 AND credit_score < 690;
give me borrowers where disbursement_amount greater than 474,SELECT * FROM loans WHERE disbursement_amount > 474;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me clients with disbursement_amount greater than 735,SELECT * FROM loans WHERE disbursement_amount > 735;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show customers where age above 722,SELECT * FROM loans WHERE age > 722;
give me customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
show people having credit_score greater than 22020 and tenure_months below 398,SELECT * FROM loans WHERE credit_score > 22020 AND tenure_months < 398;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the avg disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
give me borrowers where credit_score above 6245 and tenure_months below 698,SELECT * FROM loans WHERE credit_score > 6245 AND tenure_months < 698;
fetch clients having credit_score greater than 13842 and disbursement_amount under 306,SELECT * FROM loans WHERE credit_score > 13842 AND disbursement_amount < 306;
display clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
what is the mean credit_score of all loans,SELECT AVG(credit_score) FROM loans;
give me clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch clients where disbursement_amount greater than 34008 and tenure_months less than 399,SELECT * FROM loans WHERE disbursement_amount > 34008 AND tenure_months < 399;
display the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
list clients having disbursement_amount over 306,SELECT * FROM loans WHERE disbursement_amount > 306;
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show clients having disbursement_amount greater than 22,SELECT * FROM loans WHERE disbursement_amount > 22;
what is the highest credit_score of all loans,SELECT MAX(credit_score) FROM loans;
give me customers with credit_score more than 25027 and tenure_months less than 761,SELECT * FROM loans WHERE credit_score > 25027 AND tenure_months < 761;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
display borrowers where credit_score more than 11526 and disbursement_amount under 527,SELECT * FROM loans WHERE credit_score > 11526 AND disbursement_amount < 527;
give me people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers with tenure_months greater than 648,SELECT * FROM loans WHERE tenure_months > 648;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch clients having disbursement_amount greater than 414,SELECT * FROM loans WHERE disbursement_amount > 414;
display borrowers where credit_score greater than 772,SELECT * FROM loans WHERE credit_score > 772;
fetch people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me clients where disbursement_amount greater than 38466 and tenure_months less than 329,SELECT * FROM loans WHERE disbursement_amount > 38466 AND tenure_months < 329;
give me customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers where disbursement_amount over 32774 and tenure_months less than 501,SELECT * FROM loans WHERE disbursement_amount > 32774 AND tenure_months < 501;
list borrowers where credit_score more than 39095 and tenure_months below 634,SELECT * FROM loans WHERE credit_score > 39095 AND tenure_months < 634;
fetch customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the avg tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
what is the sum disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people having age more than 428,SELECT * FROM loans WHERE age > 428;
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients having credit_score above 5414 and disbursement_amount not exceeding 504,SELECT * FROM loans WHERE credit_score > 5414 AND disbursement_amount < 504;
fetch customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch borrowers having age over 564,SELECT * FROM loans WHERE age > 564;
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers having disbursement_amount greater than 5479 and tenure_months not exceeding 481,SELECT * FROM loans WHERE disbursement_amount > 5479 AND tenure_months < 481;
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients with tenure_months over 45610 and credit_score less than 792,SELECT * FROM loans WHERE tenure_months > 45610 AND credit_score < 792;
